PROGRAM,START DATE,START TIME,END DATE,END TIME,LANGUAGE,SYNOPSIS
Touch of heaven,10/07/2024,10:00,10/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,10/07/2024,12:00,10/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,10/07/2024,14:00,10/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,10/07/2024,14:30,10/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,10/07/2024,16:00,10/07/2024,18:00,"English, Luganda",Peace  tv show
News,10/07/2024,18:00,10/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,10/07/2024,18:30,10/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,10/07/2024,19:30,11/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,11/07/2024,03:00,11/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,11/07/2024,06:00,11/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,11/07/2024,09:00,11/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,11/07/2024,09:30,11/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,11/07/2024,10:00,11/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,11/07/2024,12:00,11/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,11/07/2024,14:00,11/07/2024,16:00,"English, Luganda",Praise and worship show
Movie,11/07/2024,16:00,11/07/2024,18:00,"English, Luganda",Block busters movie
News,11/07/2024,18:00,11/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,11/07/2024,18:30,11/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,11/07/2024,19:30,12/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,12/07/2024,03:00,12/07/2024,06:00,"English, Luganda",A great worship experience
Christ Fm Studio,12/07/2024,06:00,12/07/2024,07:00,"English, Luganda",A Radio Broadcast
Preaching,12/07/2024,07:00,12/07/2024,07:30,"English, Luganda",Preaching
Typical Ugandan,12/07/2024,07:30,12/07/2024,09:00,"English, Luganda",Talkshow
Ark production music,12/07/2024,09:00,12/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,12/07/2024,10:00,12/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,12/07/2024,12:00,12/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,12/07/2024,14:00,12/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,12/07/2024,14:30,12/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,12/07/2024,16:00,12/07/2024,18:00,"English, Luganda",Peace  tv show
News,12/07/2024,18:00,12/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,12/07/2024,18:30,12/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,12/07/2024,19:30,13/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,13/07/2024,03:00,13/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,13/07/2024,06:00,13/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,13/07/2024,09:00,13/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,13/07/2024,09:30,13/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,13/07/2024,10:00,13/07/2024,11:00,"English, Luganda",Spiritual heveanly experience
Prophecy,13/07/2024,11:00,13/07/2024,14:00,"English, Luganda",Spiritual heveanly experience
Praise experience,13/07/2024,14:00,13/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,13/07/2024,14:30,13/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,13/07/2024,16:00,13/07/2024,18:00,"English, Luganda",Peace  tv show
News,13/07/2024,18:00,13/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,13/07/2024,18:30,13/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,13/07/2024,19:30,14/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,14/07/2024,03:00,14/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,14/07/2024,06:00,14/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,14/07/2024,09:00,14/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,14/07/2024,09:30,14/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,14/07/2024,10:00,14/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,14/07/2024,12:00,14/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,14/07/2024,14:00,14/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,14/07/2024,14:30,14/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,14/07/2024,16:00,14/07/2024,18:00,"English, Luganda",Peace  tv show
News,14/07/2024,18:00,14/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,14/07/2024,18:30,14/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,14/07/2024,19:30,15/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,15/07/2024,03:00,15/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,15/07/2024,06:00,15/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,15/07/2024,09:00,15/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,15/07/2024,09:30,15/07/2024,10:00,"English, Luganda",Music entertainment
Prophecy,15/07/2024,10:00,15/07/2024,13:00,"English, Luganda",Prophecy
Movie,15/07/2024,13:00,15/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,15/07/2024,14:30,15/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,15/07/2024,16:00,15/07/2024,18:00,"English, Luganda",Peace  tv show
News,15/07/2024,18:00,15/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,15/07/2024,18:30,15/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,15/07/2024,19:30,16/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,16/07/2024,03:00,16/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,16/07/2024,06:00,16/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,16/07/2024,09:00,16/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,16/07/2024,09:30,16/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,16/07/2024,10:00,16/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Prophecy Confirmation,16/07/2024,12:00,16/07/2024,14:00,"English, Luganda",Prophecy
Movie,16/07/2024,14:00,16/07/2024,14:30,"English, Luganda",Block busters movie
Praise experience,16/07/2024,14:30,16/07/2024,16:00,"English, Luganda",Praise and worship show
Cartoon,16/07/2024,16:00,16/07/2024,18:00,"English, Luganda",Kids Entertainment
Peace centre,16/07/2024,18:00,16/07/2024,18:30,"English, Luganda",Peace  tv show
News,16/07/2024,18:30,16/07/2024,19:30,"English, Luganda",News bulletin
Food for the soul,16/07/2024,19:30,17/07/2024,03:00,"English, Luganda",Spiritual tv show
Movie,17/07/2024,03:00,17/07/2024,06:00,"English, Luganda",Block busters movie
We give glory,17/07/2024,06:00,17/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,17/07/2024,09:00,17/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,17/07/2024,09:30,17/07/2024,10:00,"English, Luganda",Music entertainment
Prophecy,17/07/2024,10:00,17/07/2024,13:00,"English, Luganda",Prophecy
My Home,17/07/2024,13:00,17/07/2024,14:00,"English, Luganda",Family Show
Praise experience,17/07/2024,14:00,17/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,17/07/2024,14:30,17/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,17/07/2024,16:00,17/07/2024,18:00,"English, Luganda",Peace  tv show
News,17/07/2024,18:00,17/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,17/07/2024,18:30,17/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,17/07/2024,19:30,18/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,18/07/2024,03:00,18/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,18/07/2024,06:00,18/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,18/07/2024,09:00,18/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,18/07/2024,09:30,18/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,18/07/2024,10:00,18/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,18/07/2024,12:00,18/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,18/07/2024,14:00,18/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,18/07/2024,14:30,18/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,18/07/2024,16:00,18/07/2024,18:00,"English, Luganda",Peace  tv show
News,18/07/2024,18:00,18/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,18/07/2024,18:30,18/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,18/07/2024,19:30,19/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,19/07/2024,03:00,19/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,19/07/2024,06:00,19/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,19/07/2024,09:00,19/07/2024,09:30,"English, Luganda",Christian based tv show
Ark production music,19/07/2024,09:30,19/07/2024,10:00,"English, Luganda",Music entertainment
Touch of heaven,19/07/2024,10:00,19/07/2024,12:00,"English, Luganda",Spiritual heveanly experience
Movie,19/07/2024,12:00,19/07/2024,14:00,"English, Luganda",Block busters movie
Praise experience,19/07/2024,14:00,19/07/2024,14:30,"English, Luganda",Praise and worship show
Cartoon,19/07/2024,14:30,19/07/2024,16:00,"English, Luganda",Kids Entertainment
Peace centre,19/07/2024,16:00,19/07/2024,18:00,"English, Luganda",Peace  tv show
News,19/07/2024,18:00,19/07/2024,18:30,"English, Luganda",News bulletin
Food for the soul,19/07/2024,18:30,19/07/2024,19:30,"English, Luganda",Spiritual tv show
Movie,19/07/2024,19:30,20/07/2024,03:00,"English, Luganda",Block busters movie
Morning glory,20/07/2024,03:00,20/07/2024,06:00,"English, Luganda",A great worship experience
We give glory,20/07/2024,06:00,20/07/2024,09:00,"English, Luganda",A thanksgiving program
Visitor's experience,20/07/2024,09:00,20/07/2024,09:30,"English, Luganda",Christian based tv show
